COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-16 09:31:15--------->PASS

2019-08-16 09:36:16--------->PASS

2019-08-16 09:36:20--------->PASS

2019-08-16 09:36:25--------->PASS

2019-08-16 09:36:51--------->PASS

2019-08-16 09:36:59--------->PASS

2019-08-16 09:37:14--------->PASS

2019-08-16 09:37:25--------->PASS

2019-08-16 09:37:43--------->PASS

2019-08-16 09:39:59--------->PASS

2019-08-16 09:40:14--------->PASS

2019-08-16 10:22:06--------->PASS

2019-08-16 10:22:19--------->PASS

2019-08-16 10:24:24--------->PASS

2019-08-16 10:32:33--------->FAIL
