COM Port Test  : 
-------------------------------------- 
Time			     Result

2019-08-14 11:57:13--------->PASS

2019-08-14 11:57:17--------->FAIL

2019-08-14 13:06:38--------->PASS

2019-08-14 13:06:48--------->FAIL

2019-08-14 13:06:49--------->FAIL

2019-08-14 13:06:49--------->FAIL

2019-08-14 13:06:49--------->FAIL

2019-08-14 13:07:50--------->PASS

2019-08-14 13:07:55--------->FAIL

2019-08-14 13:07:55--------->FAIL

2019-08-14 13:07:56--------->FAIL

2019-08-14 13:07:57--------->FAIL

2019-08-14 13:07:58--------->FAIL

2019-08-14 13:07:58--------->FAIL

2019-08-14 13:07:58--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:07:59--------->FAIL

2019-08-14 13:08:00--------->FAIL
